user_id,age,gender,country,education_level,employment_status,preferred_category,skill_level,learning_goal,courses_viewed,courses_completed,avg_progress,avg_rating_given,total_watch_time_hours,sessions_per_week,avg_session_duration_min,last_activity_days_ago,completion_rate,dropout_rate,revisit_rate,diversity_score,engagement_score,preferred_course_length,preferred_content_type,time_of_day_preference
0,56,Female,Mexico,Intermediate,Employed,AI,Beginner,Hobby,29,14,75.88,4.0,51.03,3,16.5,74,0.4827586206896552,0.5172413793103448,0.87,0.64,0.5348733004926108,Medium,Text,Afternoon
1,41,Other,Chile,Basic,Student,AI,Advanced,Hobby,3,1,15.08,4.3,281.87,2,25.91,20,0.3333333333333333,0.6666666666666667,0.62,0.65,0.29701714285714287,Long,Text,Afternoon
2,61,Male,Colombia,Master,Student,Web Dev,Intermediate,Upskill,25,16,57.23,3.5,18.77,12,47.13,61,0.64,0.36,0.09,0.66,0.5816028571428571,Short,Video,Night
3,61,Female,Mexico,Master,Student,Web Dev,Advanced,Hobby,3,0,64.68,2.93,24.19,4,113.35,13,0.0,1.0,0.81,0.37,0.37707428571428575,Short,Text,Night
4,19,Female,Spain,University,Employed,Marketing,Intermediate,Career Change,20,14,71.49,4.02,250.79,3,109.57,35,0.7,0.30000000000000004,0.18,0.78,0.45326571428571427,Medium,Video,Night
5,23,Male,Chile,University,Unemployed,Data Science,Advanced,Upskill,42,3,26.64,4.92,233.66,2,50.44,13,0.07142857142857142,0.9285714285714286,0.73,0.39,0.2635657142857143,Short,Text,Afternoon
6,31,Male,Mexico,Master,Student,Marketing,Intermediate,Hobby,23,7,86.01,4.37,164.21,8,46.03,59,0.30434782608695654,0.6956521739130435,0.54,0.23,0.5427529192546584,Long,Video,Morning
7,32,Other,Mexico,Intermediate,Employed,Marketing,Beginner,Upskill,45,0,11.41,3.56,121.49,8,5.64,10,0.0,1.0,0.2,0.74,0.23424857142857142,Short,Mixed,Afternoon
8,52,Female,Chile,Intermediate,Employed,AI,Advanced,Hobby,33,4,93.37,4.13,274.91,9,76.68,33,0.12121212121212122,0.8787878787878788,0.1,0.43,0.43596077922077925,Long,Mixed,Morning
9,41,Other,Spain,Intermediate,Unemployed,Web Dev,Beginner,Career Change,37,34,63.22,3.19,170.57,3,18.75,77,0.918918918918919,0.08108108108108103,0.85,0.75,0.63640138996139,Medium,Text,Night
10,31,Other,Mexico,Master,Unemployed,Cybersecurity,Advanced,Hobby,39,26,57.05,3.57,12.5,13,28.2,51,0.6666666666666666,0.33333333333333337,0.56,0.73,0.7046714285714286,Short,Mixed,Morning
11,54,Other,Argentina,Master,Unemployed,Data Science,Beginner,Hobby,23,6,46.93,4.39,72.5,7,38.32,85,0.2608695652173913,0.7391304347826086,0.88,0.66,0.4981208695652174,Long,Video,Night
12,23,Female,Spain,University,Student,Marketing,Intermediate,Upskill,28,27,29.66,3.54,265.57,10,19.04,88,0.9642857142857143,0.0357142857142857,0.32,0.2,0.6268914285714285,Medium,Video,Morning
13,44,Female,Colombia,Basic,Employed,Marketing,Intermediate,Hobby,13,8,37.43,2.91,162.56,5,84.63,43,0.6153846153846154,0.3846153846153846,0.24,0.25,0.41461824175824175,Medium,Video,Night
14,49,Other,Mexico,Basic,Employed,AI,Advanced,Hobby,32,23,73.27,3.41,291.68,4,33.39,38,0.71875,0.28125,0.5,0.37,0.5478792857142857,Long,Video,Night
15,34,Male,Spain,Intermediate,Unemployed,AI,Intermediate,Hobby,49,1,55.24,2.63,87.2,1,77.95,1,0.02040816326530612,0.9795918367346939,0.53,0.5,0.2440310204081633,Medium,Video,Morning
16,23,Male,Mexico,University,Student,Marketing,Intermediate,Hobby,32,22,70.49,4.4,75.1,6,47.3,69,0.6875,0.3125,0.4,0.83,0.5558014285714286,Long,Video,Night
17,33,Female,Spain,Intermediate,Student,Cybersecurity,Advanced,Career Change,33,8,38.87,2.97,17.03,4,42.49,35,0.24242424242424243,0.7575757575757576,0.02,0.56,0.24018155844155842,Long,Mixed,Afternoon
18,36,Female,Mexico,University,Employed,Web Dev,Advanced,Upskill,20,6,25.69,4.23,119.09,2,101.34,10,0.3,0.7,0.34,0.2,0.2522371428571429,Long,Video,Morning
19,40,Other,Spain,Basic,Unemployed,Data Science,Advanced,Hobby,31,29,72.62,3.07,56.61,9,64.41,1,0.9354838709677419,0.06451612903225812,1.0,0.97,0.8187423041474654,Medium,Text,Afternoon
20,22,Other,Colombia,Basic,Student,Data Science,Intermediate,Upskill,37,31,66.98,3.35,108.02,3,103.48,53,0.8378378378378378,0.16216216216216217,0.78,0.68,0.6055970656370657,Medium,Text,Morning
21,28,Female,Colombia,Basic,Student,AI,Intermediate,Upskill,49,7,80.68,4.17,176.3,9,81.3,17,0.14285714285714285,0.8571428571428572,0.16,0.59,0.42907428571428574,Short,Mixed,Afternoon
22,52,Male,Colombia,University,Employed,Data Science,Beginner,Career Change,16,12,30.18,4.28,74.99,5,25.56,7,0.75,0.25,0.85,0.69,0.5625028571428572,Short,Video,Afternoon
23,50,Male,Mexico,Basic,Unemployed,Cybersecurity,Beginner,Upskill,48,11,55.79,4.09,78.89,6,117.57,50,0.22916666666666666,0.7708333333333334,0.89,0.67,0.4869014285714286,Medium,Video,Afternoon
24,51,Other,Colombia,Master,Student,AI,Beginner,Upskill,21,0,61.92,3.73,62.6,13,62.41,3,0.0,1.0,0.02,0.68,0.4064114285714286,Long,Video,Night
25,34,Female,Mexico,Intermediate,Student,AI,Intermediate,Career Change,44,27,52.3,3.2,265.63,12,6.78,23,0.6136363636363636,0.38636363636363635,0.33,0.6,0.6118337662337663,Long,Text,Night
26,48,Other,Chile,University,Unemployed,Data Science,Intermediate,Hobby,35,32,16.78,3.26,61.32,1,41.45,17,0.9142857142857143,0.08571428571428574,0.56,0.94,0.4412742857142856,Long,Video,Morning
