user_id,age,gender,country,education_level,employment_status,preferred_category,skill_level,learning_goal,courses_viewed,courses_completed,avg_progress,avg_rating_given,total_watch_time_hours,sessions_per_week,avg_session_duration_min,last_activity_days_ago,completion_rate,dropout_rate,revisit_rate,diversity_score,engagement_score,preferred_course_length,preferred_content_type,time_of_day_preference,cluster,pca_1,pca_2
0,56,Female,Mexico,Intermediate,Employed,AI,Beginner,Hobby,29,14,75.88,4.0,51.03,3,16.5,74,0.4827586206896552,0.5172413793103448,0.87,0.64,0.5348733004926108,Medium,Text,Afternoon,0,0.46255297691716707,0.08482985260158034
1,41,Other,Chile,Basic,Student,AI,Advanced,Hobby,3,1,15.08,4.3,281.87,2,25.91,20,0.3333333333333333,0.6666666666666667,0.62,0.65,0.2970171428571428,Long,Text,Afternoon,1,-2.0174055101646045,-0.9674616338108145
2,61,Male,Colombia,Master,Student,Web Dev,Intermediate,Upskill,25,16,57.23,3.5,18.77,12,47.13,61,0.64,0.36,0.09,0.66,0.5816028571428571,Short,Video,Night,0,1.1451009479528043,0.19328065387328724
3,61,Female,Mexico,Master,Student,Web Dev,Advanced,Hobby,3,0,64.68,2.93,24.19,4,113.35,13,0.0,1.0,0.81,0.37,0.3770742857142857,Short,Text,Night,1,-2.8004082435770177,1.053772175850238
4,19,Female,Spain,University,Employed,Marketing,Intermediate,Career Change,20,14,71.49,4.02,250.79,3,109.57,35,0.7,0.3,0.18,0.78,0.4532657142857142,Medium,Video,Night,0,0.5662683176601263,-1.1103339340382943
5,23,Male,Chile,University,Unemployed,Data Science,Advanced,Upskill,42,3,26.64,4.92,233.66,2,50.44,13,0.0714285714285714,0.9285714285714286,0.73,0.39,0.2635657142857143,Short,Text,Afternoon,1,-2.2692779375847167,-1.411136785573911
6,31,Male,Mexico,Master,Student,Marketing,Intermediate,Hobby,23,7,86.01,4.37,164.21,8,46.03,59,0.3043478260869565,0.6956521739130435,0.54,0.23,0.5427529192546584,Long,Video,Morning,1,-0.4518264745448927,1.0441117488444949
7,32,Other,Mexico,Intermediate,Employed,Marketing,Beginner,Upskill,45,0,11.41,3.56,121.49,8,5.64,10,0.0,1.0,0.2,0.74,0.2342485714285714,Short,Mixed,Afternoon,1,-2.705554466955188,-1.627956922870068
8,52,Female,Chile,Intermediate,Employed,AI,Advanced,Hobby,33,4,93.37,4.13,274.91,9,76.68,33,0.1212121212121212,0.8787878787878788,0.1,0.43,0.4359607792207792,Long,Mixed,Morning,1,-1.4777581467340364,0.3860674177120364
9,41,Other,Spain,Intermediate,Unemployed,Web Dev,Beginner,Career Change,37,34,63.22,3.19,170.57,3,18.75,77,0.918918918918919,0.081081081081081,0.85,0.75,0.63640138996139,Medium,Text,Night,0,3.269617127678024,-0.8436591720632117
10,31,Other,Mexico,Master,Unemployed,Cybersecurity,Advanced,Hobby,39,26,57.05,3.57,12.5,13,28.2,51,0.6666666666666666,0.3333333333333333,0.56,0.73,0.7046714285714286,Short,Mixed,Morning,0,2.4547131137220317,0.7957063444656874
11,54,Other,Argentina,Master,Unemployed,Data Science,Beginner,Hobby,23,6,46.93,4.39,72.5,7,38.32,85,0.2608695652173913,0.7391304347826086,0.88,0.66,0.4981208695652174,Long,Video,Night,1,-0.8208853243390535,0.720661104502921
12,23,Female,Spain,University,Student,Marketing,Intermediate,Upskill,28,27,29.66,3.54,265.57,10,19.04,88,0.9642857142857144,0.0357142857142857,0.32,0.2,0.6268914285714285,Medium,Video,Morning,0,2.931800686707958,-0.6799008861774737
13,44,Female,Colombia,Basic,Employed,Marketing,Intermediate,Hobby,13,8,37.43,2.91,162.56,5,84.63,43,0.6153846153846154,0.3846153846153846,0.24,0.25,0.4146182417582417,Medium,Video,Night,1,-0.20407969652477237,-0.8657496516949748
14,49,Other,Mexico,Basic,Employed,AI,Advanced,Hobby,32,23,73.27,3.41,291.68,4,33.39,38,0.71875,0.28125,0.5,0.37,0.5478792857142857,Long,Video,Night,0,1.700893326457668,-0.6762551566363895
15,34,Male,Spain,Intermediate,Unemployed,AI,Intermediate,Hobby,49,1,55.24,2.63,87.2,1,77.95,1,0.0204081632653061,0.979591836734694,0.53,0.5,0.2440310204081633,Medium,Video,Morning,1,-2.509005376893119,-1.5392445182725694
